rank,candidate_index,run_id,fm_xml,eligible_ok,wellformed_ok,duplicate_free,constraints_valid,satisfiable,trace_present_rate,label_support_mean,trace_support_mean,evidence_score,feature_overlap_mean,edge_overlap_mean,constraint_overlap_mean,consensus_score,proxy_score,duplicate_feature_count,wellformed_error_count,sat_error
1,20,is_rgfm_response_glm-4-7-cloud_2026-05-04T13-15-33.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-04T13-15-33.final.xml,True,True,True,True,,1.0,0.043721319782307214,0.13857987067028785,0.27292047618103804,0.21630073646989728,0.020918217907684562,0.0,0.13814772904501219,0.23248865204023028,0,0,
2,12,is_rgfm_response_glm-4-7-cloud_2026-05-04T05-23-36.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-04T05-23-36.final.xml,True,True,True,True,,1.0,0.05041380240805446,0.13451162102819286,0.2739701693744989,0.20116158954947613,0.019592966270725872,0.01694915254237288,0.12853414023797602,0.23033936063354205,0,0,
3,4,is_rgfm_response_glm-4-7-cloud_2026-05-03T22-35-36.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-03T22-35-36.final.xml,True,True,True,True,,1.0,0.04434046127693055,0.14288684197355062,0.2748909213001925,0.19855952185627507,0.01223325002477401,0.711864406779661,0.12402901312367463,0.2296323488472371,0,0,
4,14,is_rgfm_response_glm-4-7-cloud_2026-05-04T07-17-00.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-04T07-17-00.final.xml,True,True,True,True,,1.0,0.0450535168145122,0.14039117905335333,0.27417787834714624,0.20290780031341277,0.009525843737865365,0.0,0.1255550176831938,0.22959102014796048,0,0,
5,2,is_rgfm_response_glm-4-7-cloud_2026-05-03T20-45-13.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-03T20-45-13.final.xml,True,True,True,True,,1.0,0.04250521104329196,0.12455821424527172,0.2668253701154255,0.21999273503884184,0.026122202206015247,0.711864406779661,0.14244452190571122,0.22951111565251123,0,0,
6,15,is_rgfm_response_glm-4-7-cloud_2026-05-04T08-13-52.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-04T08-13-52.final.xml,True,True,True,True,,1.0,0.04459665249708811,0.13960644193264068,0.2736812377718915,0.20018190019919183,0.013376569298530757,0.711864406779661,0.1254597678389274,0.22921479679200227,0,0,
7,30,is_rgfm_response_glm-4-7-cloud_2026-05-05T00-43-38.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-05T00-43-38.final.xml,True,True,True,True,,1.0,0.05194874894732632,0.13526768752296148,0.2748865745881151,0.1904653527920822,0.019484575980337693,0.711864406779661,0.1220730420673844,0.22904251483189586,0,0,
8,17,is_rgfm_response_glm-4-7-cloud_2026-05-04T10-10-47.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-04T10-10-47.final.xml,True,True,True,True,,1.0,0.04545026715243223,0.1431739761212809,0.27544969730948526,0.18972254013436027,0.015630790864660276,0.711864406779661,0.12008584042648027,0.22884054024458378,0,0,
9,29,is_rgfm_response_glm-4-7-cloud_2026-05-05T00-12-05.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-05T00-12-05.final.xml,True,True,True,True,,1.0,0.04824364121253262,0.14407296602403735,0.276926642894628,0.18181151173543056,0.0166220706082768,0.0,0.11573573528456904,0.22856937061161028,0,0,
10,9,is_rgfm_response_glm-4-7-cloud_2026-05-04T03-21-26.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/repair/is_rgfm_response_glm-4-7-cloud_2026-05-04T03-21-26.final.xml,True,True,True,True,,1.0,0.055990167220394634,0.1291806462552287,0.27406832539024933,0.19487408029086087,0.013562677796931056,0.0,0.12234951929328894,0.2285526835611612,0,0,
