FM_ID,pipeline_FR,pipeline_ARU,relevance_FR,relevance_ARU,feature_correctness_FR,feature_correctness_ARU,structural_quality_FR,structural_quality_ARU,constraint_validity_FR,constraint_validity_ARU,overall_score_FR,overall_score_ARU
rank01_glm-4.7,IS-NonRAG,IS-NonRAG,Y,Y,6,5,5,4,5,5,5.3999999999999995,4.6999999999999993
rank01_gpt-oss-120b,SS-RAG,SS-RAG,Y,Y,6,4,5,5,4,4,5,4.3999999999999995
rank02_gemini-3.1,IS-NonRAG,IS-NonRAG,Y,Y,4.5,4,4,4,4,4,4.1999999999999993,4
rank02_glm-4-7,IS-RAG,IS-RAG,Y,Y,5,5,4,4,4,4,4.3999999999999995,4.3999999999999995
rank02_gpt-oss-120b,SS-RAG,SS-RAG,Y,Y,5.5,6,6,6,4,4,5.1999999999999993,5.3999999999999995
rank03_deepseek-v3.2,IS-NonRAG,IS-NonRAG,Y,Y,4,5,4,4,4,4,4,4.3999999999999995
rank03_gpt-oss-120b,SS-RAG,SS-RAG,Y,Y,4,4.5,4,4,4,4,4,4.1999999999999993
rank04_deepseek-v3-2,SS-NonRAG,SS-NonRAG,Y,Y,4.5,6,5,5,5,5,4.8999999999999995,5.3999999999999995
rank04_gemini-3.1,IS-NonRAG,IS-NonRAG,Y,Y,3,6,3,6,4,5,3.4,5.6999999999999993
rank04_gpt-oss-120b,SS-RAG,SS-RAG,Y,Y,5,6.5,5.5,6,5,5,5.1999999999999993,5.8999999999999995
rank05_deepseek-v3-2,SS-NonRAG,SS-NonRAG,Y,Y,4,5,4,4,4,4,4,4.3999999999999995
rank05_gemini-3.1,IS-NonRAG,IS-NonRAG,Y,Y,4.5,5,4.5,4.5,5,5,4.6999999999999993,4.8999999999999995
rank05_glm-4-7,IS-RAG,IS-RAG,Y,Y,4,6,4,6,4,5,4,5.6999999999999993
rank05_gpt-oss-120b,SS-RAG,SS-RAG,Y,Y,4.5,6,5,5,4,5,4.5,5.3999999999999995
