rank,run_id,fm_xml,copied_xml,meta,wellformed_ok,wellformed_error_count,eligible_ok,has_duplicate_features,duplicate_feature_count,duplicate_feature_names,satisfiable,sat_error,overall_score,semantic_f1,coverage_score,semantic_precision,semantic_recall
1,rank01_is_nonrag_response_glm-4.7-cloud_2026-03-21T20-59-28.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank01_is_nonrag_response_glm-4.7-cloud_2026-03-21T20-59-28.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank01_rank01_is_nonrag_response_glm-4.7-cloud_2026-03-21T20-59-28.final.xml,,True,0,True,False,0,[],True,,22.778460000000003,0.8041,55.74,0.7598,0.8538
2,rank01_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T18-59-33.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank01_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T18-59-33.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank02_rank01_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T18-59-33.final.xml,,True,0,True,False,0,[],True,,21.2118,0.753,51.9,0.7949,0.7154
3,rank02_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-52-09.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank02_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-52-09.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank03_rank02_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-52-09.final.xml,,True,0,True,False,0,[],True,,20.98054,0.7609,51.31,0.7255,0.8
4,rank03_is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T14-46-35.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank03_is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T14-46-35.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank04_rank03_is_nonrag_response_deepseek-v3.2-cloud_2026-03-21T14-46-35.final.xml,,True,0,True,False,0,[],True,,20.77512,0.8052,50.73,0.8185,0.7923
5,rank04_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-22-17.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank04_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-22-17.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank05_rank04_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-22-17.final.xml,,True,0,True,False,0,[],True,,20.67012,0.7702,50.52,0.7361,0.8077
6,rank02_is_rgfm_response_glm-4-7-cloud_2026-03-20T23-38-11.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank02_is_rgfm_response_glm-4-7-cloud_2026-03-20T23-38-11.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank06_rank02_is_rgfm_response_glm-4-7-cloud_2026-03-20T23-38-11.final.xml,,True,0,True,False,0,[],True,,20.458360000000003,0.7706,49.99,0.7967,0.7462
7,rank03_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T21-21-41.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank03_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T21-21-41.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank07_rank03_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T21-21-41.final.xml,,True,0,True,False,0,[],True,,20.415960000000002,0.7666,49.89,0.8061,0.7308
8,rank04_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T23-36-00.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank04_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T23-36-00.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank08_rank04_is_rgfm_response_gpt-oss-120b-cloud_2026-03-20T23-36-00.final.xml,,True,0,True,False,0,[],True,,20.36582,0.7697,49.76,0.7947,0.7462
9,rank05_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-36-06.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank05_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-36-06.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank09_rank05_is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-36-06.final.xml,,True,0,True,False,0,[],True,,20.361240000000002,0.7754,49.74,0.7593,0.7923
10,rank05_is_rgfm_response_glm-4-7-cloud_2026-03-21T20-40-01.final,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/rank05_is_rgfm_response_glm-4-7-cloud_2026-03-21T20-40-01.final.xml,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/final_fm/is-nonrag/new_FM_20/top_fm/top_20/overall/rank10_rank05_is_rgfm_response_glm-4-7-cloud_2026-03-21T20-40-01.final.xml,,True,0,True,False,0,[],True,,19.99026,0.7771,48.81,0.7773,0.7769
