rank,candidate_index,run_id,fm_xml,eligible_ok,wellformed_ok,duplicate_free,constraints_valid,satisfiable,trace_present_rate,label_support_mean,trace_support_mean,evidence_score,feature_overlap_mean,edge_overlap_mean,constraint_overlap_mean,consensus_score,proxy_score,duplicate_feature_count,wellformed_error_count,sat_error
1,1,is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T13-38-37.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T13-38-37.final.xml,True,True,True,True,,1.0,0.05399788315563659,0.18399092877479245,0.29519552477217165,0.17206903267412044,0.022081829022899783,0.8775510204081632,0.11207415121363218,0.24025911270460978,0,0,
2,2,is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T17-34-36.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T17-34-36.final.xml,True,True,True,True,,1.0,0.05270368716657034,0.17402790021954823,0.29069263495444747,0.1642094189697811,0.018686536553092516,0.8775510204081632,0.10600026600310568,0.2352849242690449,0,0,
3,3,is_rgfm_response_deepseek-v3-2-cloud_2026-05-05T20-10-45.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-05T20-10-45.final.xml,True,True,True,True,,1.0,0.056448489848734816,0.17734515894076147,0.29351745951579855,0.14891370634926246,0.019791243937118036,0.8775510204081632,0.09726472138440469,0.2346416380763804,0,0,
4,7,is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T06-47-01.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T06-47-01.final.xml,True,True,True,True,,1.0,0.05418197052338135,0.16602005703507924,0.28808081102338423,0.16702901945953133,0.019590687197303863,0.8775510204081632,0.10805368655464034,0.23407267368276105,0,0,
5,4,is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T02-42-10.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T02-42-10.final.xml,True,True,True,True,,1.0,0.054229809950469325,0.18780091405933252,0.29681228960392075,0.1265816902164951,0.015866357482838815,0.8775510204081632,0.08229555712303259,0.23245726985965431,0,0,
6,5,is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T03-42-47.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T03-42-47.final.xml,True,True,True,True,,1.0,0.05153022917738522,0.16985605254120623,0.2885545126874366,0.15841598554049663,0.015476985364619002,0.8775510204081632,0.10124038547014558,0.23236027452224928,0,0,
7,12,is_rgfm_response_glm-4-7-cloud_2026-05-04T02-14-33.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_glm-4-7-cloud_2026-05-04T02-14-33.final.xml,True,True,True,True,,1.0,0.05274972829581694,0.15487937791707207,0.28305164248515563,0.1782100849600949,0.01741031009734498,0.0,0.11389017501499493,0.23230320224410742,0,0,
8,13,is_rgfm_response_glm-4-7-cloud_2026-05-04T03-24-05.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_glm-4-7-cloud_2026-05-04T03-24-05.final.xml,True,True,True,True,,1.0,0.0516993779222301,0.15681787412371906,0.28340690081837966,0.1723942963860023,0.018425913542538,0.8775510204081632,0.11080694324861658,0.2316269135474507,0,0,
9,10,is_rgfm_response_glm-4-7-cloud_2026-05-03T23-01-18.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_glm-4-7-cloud_2026-05-03T23-01-18.final.xml,True,True,True,True,,1.0,0.04866642622194433,0.1529189144581161,0.28063413627202416,0.17811890638102926,0.020599663643691705,0.8775510204081632,0.11511120928609424,0.23097725817624518,0,0,
10,6,is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T05-00-46.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-06T05-00-46.final.xml,True,True,True,True,,1.0,0.05025088679302997,0.17390616001713224,0.2896628187240649,0.14531476968426524,0.013915682139675629,0.0,0.09275513466642939,0.23059051350677426,0,0,
